Compound,True_Eff,Pred_Diff_Score,Pred_Class,True_Class,Correct
ARI,8.066999912261963,-0.11658426,Weaker,Weaker,1
BRE,0.6914000026881695,-0.22693865,Weaker,Weaker,1
LSD,9.148000180721283,-0.2978691,Weaker,Weaker,1
Lisu,14.830000698566437,-0.16059348,Weaker,Weaker,1
R10,43.48999857902527,-0.2339363,Weaker,Weaker,1
ROT,51.590001583099365,-0.10226926,Weaker,Weaker,1
S10,27.20000147819519,-0.20426627,Weaker,Weaker,1
S84,6.898000091314316,-0.5512419,Weaker,Weaker,1
UNC,43.070000410079956,-0.16021027,Weaker,Weaker,1
