,R2_Train,R2_Test,RMSE_Test,MAE_Test,KFold_CV_R2,KFold_CV_RMSE,KFold_CV_MAE,LOO_R2,LOO_RMSE,LOO_MAE
Linear Regression,1.0,-82815.68312008998,154.77630579225772,127.41088502644841,-2.7787540346214428,56.69465713851357,54.265950453385734,0.025771841860765532,28.78711615835993,23.338958355827838
Random Forest,0.8689872755322976,-3205.615925283651,30.455731350639315,30.31313584759993,0.4290826974801464,22.0370990596048,18.911364618714284,0.501634861017372,20.58930319620389,17.35549407857143
Gradient Boosting,0.9999999992944921,-667.1330811076427,13.901992442061921,13.901588899472543,0.6450994578172305,17.374853551206176,16.99175142322861,0.5517706855342961,19.52620971579647,18.637925957219956
SVR,0.9999829150575635,-4879.422861877292,37.57286281299328,37.558216017521715,-0.30890551989482606,33.367369521923386,28.85630553253819,-0.5538565010895724,36.355764024296974,34.43765338748504
