Time_ns,RMSD_A,Compound,Replicate,Efficacy_Type
10.4,4.990650102244758,ARI,2,Partial Agonist
10.5,5.24645797484171,ARI,2,Partial Agonist
10.6,5.079667642142198,ARI,2,Partial Agonist
10.7,5.923985034068583,ARI,2,Partial Agonist
10.8,6.287835795856742,ARI,2,Partial Agonist
10.9,6.47504565082671,ARI,2,Partial Agonist
11.0,6.01186838905364,ARI,2,Partial Agonist
11.1,5.668541055127751,ARI,2,Partial Agonist
11.2,6.472320298754064,ARI,2,Partial Agonist
11.3,5.917392710024835,ARI,2,Partial Agonist
11.4,5.500830619651427,ARI,2,Partial Agonist
11.5,6.066469131872619,ARI,2,Partial Agonist
11.6,5.540704500921357,ARI,2,Partial Agonist
11.7,3.931550036403566,ARI,2,Partial Agonist
11.8,2.373669044607048,ARI,2,Partial Agonist
11.9,3.6645773238620185,ARI,2,Partial Agonist
12.0,4.022157098250525,ARI,2,Partial Agonist
12.1,3.5255946600410466,ARI,2,Partial Agonist
12.2,3.384843807645891,ARI,2,Partial Agonist
12.3,3.9651367153343124,ARI,2,Partial Agonist
12.4,2.9762618339348985,ARI,2,Partial Agonist
12.5,3.506545569500299,ARI,2,Partial Agonist
12.6,3.250337949102158,ARI,2,Partial Agonist
12.7,3.271505933728051,ARI,2,Partial Agonist
12.8,3.280379436590691,ARI,2,Partial Agonist
12.9,3.3991700261776416,ARI,2,Partial Agonist
13.0,3.166340048080039,ARI,2,Partial Agonist
13.1,3.9905230441222037,ARI,2,Partial Agonist
13.2,3.759708087855665,ARI,2,Partial Agonist
13.3,4.632464206085374,ARI,2,Partial Agonist
13.4,4.078952730380278,ARI,2,Partial Agonist
13.5,3.249226030810498,ARI,2,Partial Agonist
13.6,3.976790919170759,ARI,2,Partial Agonist
13.7,4.014709099015115,ARI,2,Partial Agonist
13.8,4.877998358187402,ARI,2,Partial Agonist
13.9,4.1652365400441616,ARI,2,Partial Agonist
14.0,3.9007498029875483,ARI,2,Partial Agonist
14.1,3.8010019717119596,ARI,2,Partial Agonist
14.2,3.8451082189512182,ARI,2,Partial Agonist
14.3,3.7583875084016625,ARI,2,Partial Agonist
14.4,4.024125926907239,ARI,2,Partial Agonist
14.5,3.736915468732259,ARI,2,Partial Agonist
14.6,3.416527562283661,ARI,2,Partial Agonist
14.7,3.697816920583988,ARI,2,Partial Agonist
14.8,3.422422079930249,ARI,2,Partial Agonist
14.9,3.3992714984550427,ARI,2,Partial Agonist
15.0,3.3910386678509075,ARI,2,Partial Agonist
15.1,3.609540504471948,ARI,2,Partial Agonist
15.2,3.6737535679420876,ARI,2,Partial Agonist
15.3,3.3100084962634746,ARI,2,Partial Agonist
15.4,3.5202156895728725,ARI,2,Partial Agonist
