Compound,Replica,Offset,Phe6.51_Score_Sum_Mean,Phe6.52_Score_Sum_Mean,strength_389,strength_390,strength_combined,quality_score_389,quality_score_390,major_contributor_389,major_contributor_390,avg_angle_389,avg_angle_390,std_angle_389,std_angle_390
20251115_D2_Dopa_cryoEM_rebuild,charmm-gui-6321110432_gromacs_replicate_2,347.49,1.6380352849780415,1.3431926952006483,4.6537457037417235e-05,3.990309662326124e-05,4.3220276830339234e-05,6.24284594571736e-05,6.854188655704873e-05,4.0,3.0,0.7079627396870438,0.5907248396879642,0.17120674348426543,0.20419683164897004
20251115_D2_Dopa_cryoEM_rebuild,charmm-gui-6321110432_gromacs_replicate_1,347.49,1.8207229556050246,1.2781408105448602,5.152730799832963e-05,3.773181614106817e-05,4.46295620696989e-05,6.650934266003191e-05,6.381902298231289e-05,4.0,4.0,0.7466085662342223,0.5847841981308729,0.16598546377047524,0.18726020338020666
20251115_D2_Dopa_cryoEM_rebuild,charmm-gui-6321110432_gromacs_replicate_3,347.49,2.232425441291454,1.6767534816755763,6.025328580333319e-05,4.8320386198296316e-05,5.428683600081475e-05,6.823864640781424e-05,7.559559023119321e-05,1.0,3.0,0.8016398541120413,0.684771793038509,0.06993786832845829,0.1996643245193013
20251115_D2_Dopa_cryoEM_rebuild,charmm-gui-6633077180_gromacs_replicate_2,347.49,2.4749342344708802,1.3311661262152825,6.681727135996397e-05,3.92395574497995e-05,5.302841440488173e-05,0.00012283992348574937,7.079586742676177e-05,2.0,4.0,0.813065475119925,0.6367421135130923,0.09787388819260082,0.211477173443273
20251115_D2_Dopa_cryoEM_rebuild,charmm-gui-6633077180_gromacs_replicate_1,347.49,1.2936008889493806,1.4373766497828775,3.8272516281966e-05,4.2473562838728184e-05,4.037303956034709e-05,8.358215417964232e-05,7.206930002117634e-05,2.0,4.0,0.5841875584074154,0.6367095225009097,0.18127763397817243,0.2212509561359802
20251115_D2_Dopa_cryoEM_rebuild,charmm-gui-6633077180_gromacs_replicate_3,347.49,2.5227705360738413,1.3998587293702232,6.822848446268486e-05,4.0984793142152005e-05,5.460663880241843e-05,0.00012646597005865342,7.076329556038612e-05,2.0,4.0,0.8198059265349071,0.6463121660685973,0.1059652193159186,0.20417359503429802
20251115_D2_Dopa_cryoEM_rebuild,AVERAGE,347.49,1.9970815568947702,1.4110814154649114,5.527272049061582e-05,4.1442202065550904e-05,4.835746127808335e-05,8.834408270817747e-05,7.02641604631465e-05,2.5,3.6666666666666665,0.7455450200159258,0.6300074388233242,0.13204113617831512,0.20467051402700487
