,R2_Train,R2_Test,RMSE_Test,MAE_Test,KFold_CV_R2,KFold_CV_RMSE,KFold_CV_MAE,LOO_R2,LOO_RMSE,LOO_MAE
Linear Regression,1.0,-42231.48208188443,110.52712249988902,93.56298070416561,-2.8747004518015444,57.40991290157459,54.360435587488276,-0.19310454897137164,31.857161124927174,23.573000180144593
Random Forest,0.8741382732748728,-3165.5448141784154,30.26483982124667,30.13593762079993,0.4057465850262765,22.48296914007966,20.507000271871416,0.49814045796959516,20.66136044861043,17.357541451414267
Gradient Boosting,0.9999999992944921,-667.1330811076427,13.901992442061921,13.901588899472543,0.6865302848145214,16.329226606826328,14.259097504451669,0.5869040973927477,18.745337538537616,17.90795588395625
SVR,0.9999829204015716,-4759.861944420075,37.10977783382162,37.086408926365976,-0.3088850761945028,33.36710893964439,28.855967439575043,-0.553816042596623,36.35529071514772,34.43718947006188
