,R2_Train,R2_Test,RMSE_Test,MAE_Test,KFold_CV_R2,KFold_CV_RMSE,KFold_CV_MAE,LOO_R2,LOO_RMSE,LOO_MAE
Linear Regression,1.0,-119297.65772178402,185.76476350192422,157.54301318828746,-3.2957880740980148,60.44901733055156,57.85098620034451,-1.1629429467401873,42.89338822282318,37.30429183843803
Random Forest,0.8680955664657457,-4450.030592726281,35.881934575575144,35.22240710709993,0.4195406379526988,22.220495103073944,18.99232247132857,0.4392951799670979,21.839111521596525,18.274615195128558
Gradient Boosting,0.9999999992944921,-4737.746918995376,37.02348684657758,32.152321032253326,0.6472759946659215,17.321493293776484,16.65200196501002,0.2523027194106544,25.219166088633933,21.57650544921561
SVR,0.9999829485139164,-5514.526998437993,39.94285168927773,39.92195342794364,-0.3089229278143246,33.36759140751498,28.85670624424748,-0.5539693091335671,36.35708369190831,34.438850087915924
