Compound,True_Eff,Pred_Diff_Score,Pred_Class,True_Class,Correct
ARI,8.066999912261963,-0.15708186,Weaker,Weaker,1
BRE,0.6914000026881695,-0.28484094,Weaker,Weaker,1
LSD,9.148000180721283,-0.20967685,Weaker,Weaker,1
Lisu,14.830000698566437,-0.25239244,Weaker,Weaker,1
R10,43.48999857902527,-0.15922952,Weaker,Weaker,1
ROT,51.590001583099365,-0.12582995,Weaker,Weaker,1
S10,27.20000147819519,-0.24892108,Weaker,Weaker,1
S84,6.898000091314316,-0.41343322,Weaker,Weaker,1
UNC,43.070000410079956,-0.15736762,Weaker,Weaker,1
