Time,Global_Angle,Phe389_Score_Sum,Phe389_Score_Max,Phe390_Score_Sum,Phe390_Score_Max,Global_Angle_SD,Phe389_Score_Sum_SD,Phe389_Score_Max_SD,Phe390_Score_Sum_SD,Phe390_Score_Max_SD
0.0,71.20159249727195,3.2551293551381706,0.512579430977541,3.3436957297727616,0.8622393947986597,3.52776420632127,0.019556873621827092,0.011109366794092482,0.047700731672646456,0.019304003411945075
100.0,72.23560076013578,2.7560882752807396,0.8322135576858376,3.185336172975634,0.8537580893172805,9.795754797406587,0.27457446036496724,0.015118654272058954,0.2993180354695478,0.010197782525736594
200.0,73.87050554759281,3.407992132724864,0.6862208647350516,3.414789758939821,0.8732985254284849,6.248519753417871,0.13057829528596052,0.1605496048274788,0.18312781579598786,0.025929431576296257
300.0,72.52987932086737,3.101248290269722,0.8715111456648776,3.5997036489074583,0.8505600479912752,2.7186673659514025,0.10272901607889309,0.007581280743572874,0.9214269038699052,0.01628908896272233
400.0,76.61238703165722,2.7402227924549587,0.8222567777583908,3.292787431976057,0.8484732683034231,2.842456695513158,0.05888120525769945,0.0007408704548621961,0.31124158655650513,0.0645826323257828
500.0,71.57565186910966,2.3324098845528347,0.799732056877366,2.6682140462802915,0.7601291401280674,5.106827267136926,0.062262824413709186,0.022715728834513324,0.260285138381474,0.09813413205272983
600.0,80.27868311671531,3.2150947991325434,0.8273527642027135,2.5885811773726832,0.6717737734155771,0.2976636514955768,0.4255069284651035,0.035696510896299376,1.314044579225223,0.3006275936060335
700.0,74.39839327028179,3.2748240353741567,0.7753335828218058,3.450067872913837,0.8457162494278851,4.515866215311231,0.38477168532119665,0.12566449784574707,0.29343182362397274,0.06828823796131257
800.0,79.56815124215152,2.5543148175078123,0.8082158969617288,3.024676302790289,0.7655689992402288,6.5609439938678875,0.06935552589652184,0.0048418256153018304,0.7706746260124423,0.1743136100333903
900.0,74.45739531979129,2.7989615114887707,0.840796124024326,3.8830724661756273,0.8424742812369793,10.888239363633533,0.43605231067467476,0.027533682010391382,0.5130309189529488,0.0727378172505091
1000.0,71.76546567666617,3.271724293811765,0.854234666277983,3.95141397792181,0.8488454281750688,9.829284539132662,0.14470431066252362,0.04734192727110476,0.5318453579460498,0.06346310571703571
1100.0,79.90325125179395,3.4888602675333136,0.6920208066812044,2.929581281213739,0.7596716850403983,1.6488266580824016,0.13629513271288338,0.24638931961510344,1.0857071448809152,0.184590253798494
