Compound,True,Pred,Diff
ARI,33.81247818470001,80.56709170341492,46.754613518714905
BRE,25.172871351242065,76.83776021003723,51.664888858795166
Dopa,100.0,51.621562242507935,-48.378437757492065
R10,86.51809692382812,24.345333874225616,-62.17276304960251
ROT,98.92433881759644,85.3977382183075,-13.52660059928894
S10,75.42082071304321,57.72441029548645,-17.696410417556763
S84,44.83229219913483,52.911823987960815,8.079531788825989
UNC,87.83805966377258,65.78123569488525,-22.05682396888733
