Compound,Efficacy
Dopa,97.54
ROT,105.1
Pramipexole,104.9
UNC,98.7
R10,103.2
S10,95.72
(R)-IHCH-7084,90.24
Lisu,91.78
(R)-IHCH-7041,88.12
(S)-IHCH-7041,78.39
LSD,81.03
S84,70.04
CAR,57.7
ARI,56.3
BRE,39.16
