Time,Global_Angle,Phe6.51_Score_Sum,Phe6.51_Score_Max,Phe6.52_Score_Sum,Phe6.52_Score_Max,Global_Angle_SD,Phe6.51_Score_Sum_SD,Phe6.51_Score_Max_SD,Phe6.52_Score_Sum_SD,Phe6.52_Score_Max_SD
0.0,84.52805812214297,3.857543553756624,0.699464862033789,4.216211375870541,0.8466772944392019,3.7129797924201324,0.28768600757802615,0.03907397019802681,0.27142545244539346,0.07320759688559497
100.0,80.03059410679214,2.896257578660886,0.7159797347606296,3.5397887319872905,0.7556109955494165,1.3027025818753692,0.665548133072713,0.06793319750047037,0.48802434739311396,0.10304893165816202
200.0,79.89237075262137,3.331209069414491,0.7637376478956858,4.0659004577679,0.8082875213975703,5.759326943114624,0.41933748891750827,0.06489892059388294,0.4035307343948865,0.12847861448058404
300.0,80.70419019266751,3.281429144970721,0.6872258588454859,3.2940589175886394,0.7387871845692043,10.215439199699697,0.6998031319535777,0.05132467927584026,1.1063299882746744,0.12058855870466471
400.0,81.93011806132454,3.3537903352724747,0.7461782583072555,4.2190139469626935,0.8258647892372082,3.0115478526639423,0.39567369202778674,0.05760164534005161,0.19313520677194748,0.07062635671309661
500.0,81.92949699248665,1.7204581592616919,0.5318892346453862,3.471296621072933,0.7495757204035168,8.552503339360936,1.7833804188913542,0.39719943837722216,1.2048890855442176,0.12517075944988523
600.0,78.13300381925974,2.2006495353767446,0.7113299605321196,3.0341409419826237,0.7089628464660421,6.229632194554259,0.9046210363998008,0.21007836562238916,1.7194406085925251,0.282298058304368
700.0,71.42249972768617,2.7613508356142327,0.710910585296277,2.957492839429723,0.7813810452577422,6.46097621822115,1.3438720806636795,0.09404836381661175,1.2314599600130902,0.18182550313184484
800.0,73.27232044128318,2.783533363735986,0.7483954352233155,3.869109026232794,0.81047750089943,3.0444908366523116,0.7414658577097211,0.03847729962375631,0.33705154747049565,0.12513422229707394
900.0,74.37242047017344,3.528253132931418,0.8017879640059918,3.981263401206746,0.7978458728797785,13.897062214626096,0.3657931953535344,0.14200623353266073,0.3364507040714563,0.1249355188217035
