,R2_Train,R2_Test,RMSE_Test,MAE_Test,KFold_CV_R2,KFold_CV_RMSE,KFold_CV_MAE,LOO_R2,LOO_RMSE,LOO_MAE
Linear Regression,1.0,-98415.09553753579,168.72468499671507,140.41838255117395,-2.6860060594782493,55.994560948696865,53.783162223022096,-0.2181344063089563,32.18958860841202,26.7293772693977
Random Forest,0.8706124466626912,-3060.0599297172753,29.756474577803225,29.667595823999932,0.4556818583175902,21.517619617841422,18.6200287158,0.530497550698374,19.98419930898645,16.82600438181429
Gradient Boosting,0.9999999992944921,-667.1330811076427,13.901992442061921,13.901588899472543,0.6395525878552342,17.510106082690353,16.746584313962735,0.6257696204168962,17.841745548462722,17.108829187584575
SVR,0.9999828649072084,-5019.998364194955,38.110144924996916,38.10814358559166,-0.30890409553444,33.36735136661288,28.856338192603975,-0.5538920731614179,36.356180163897875,34.43800006617845
